site_id,latitude,longitude,f0_hz,a0,tdom_s,kg,gss_1000yr,gss_2500yr,source_table,docx_table_index,source_row_number
MD172,3.743,98.645,0.462,1.331,2.165,3.836,5.00E-04,1.50E-03,Table 16,35,1
MD173,3.747,98.650,1,3.186,1,10.15,3.00E-03,3.98E-03,Table 16,35,2
MD174,3.741,98.659,1.594,3.526,0.627,7.798,3.00E-03,3.06E-03,Table 16,35,3
MD179,3.755,98.639,1.892,3.621,0.529,6.932,3.00E-03,2.72E-03,Table 16,35,4
MD180,3.754,98.641,1.78,4.468,0.562,11.22,3.00E-03,4.40E-03,Table 16,35,5
MD181,3.753,98.651,1.836,1.336,0.545,0.972,5.00E-04,3.81E-04,Table 16,35,6
MD182,3.756,98.660,1.473,1.257,0.679,1.072,5.00E-04,4.20E-04,Table 16,35,7
MD183,3.754,98.668,0.992,2.686,1.008,7.272,3.00E-03,2.85E-03,Table 16,35,8
MD184,3.755,98.679,0.797,4.441,1.254,24.73,7.00E-03,9.70E-03,Table 16,35,9
MD185,3.753,98.690,0.693,6.312,1.443,57.51,1.00E-02,2.26E-02,Table 16,35,10
MD186,3.754,98.697,0.701,4.761,1.426,32.33,7.00E-03,1.27E-02,Table 16,35,11
MD187,3.758,98.652,1.111,0.287,0.9,0.074,5.00E-04,2.91E-05,Table 16,35,12
MD188,3.759,98.656,1.135,2.11,0.881,3.925,5.00E-04,1.54E-03,Table 16,35,13
MD189,3.761,98.662,0.985,2.187,1.015,4.852,3.00E-03,1.90E-03,Table 16,35,14
MD190,3.770,98.671,0.807,1.882,1.239,4.387,3.00E-03,1.72E-03,Table 16,35,15
MD191,3.757,98.671,1.157,4.457,0.864,17.17,5.00E-03,6.73E-03,Table 16,35,16
MD192,3.768,98.678,0.821,3.757,1.217,17.18,5.00E-03,6.74E-03,Table 16,35,17
MD193,3.771,98.685,0.686,5.323,1.457,41.29,1.00E-02,1.62E-02,Table 16,35,18
MD194,3.773,98.703,0.662,8.734,1.511,115.3,1.00E-02,4.52E-02,Table 16,35,19
MD195,3.773,98.675,0.77,3.25,1.298,13.71,5.00E-03,5.38E-03,Table 16,35,20
MD196,3.786,98.682,0.721,4.015,1.388,22.37,7.00E-03,8.77E-03,Table 16,35,21
MD197,3.781,98.688,0.9,2.73,1.111,8.281,3.00E-03,3.25E-03,Table 16,35,22
MD198,3.781,98.696,0.732,5.282,1.367,38.14,7.00E-03,1.50E-02,Table 16,35,23
MD199,3.781,98.705,0.608,7.171,1.646,84.64,1.00E-02,3.32E-02,Table 16,35,24
MD200,3.785,98.710,0.666,4.133,1.501,25.64,7.00E-03,1.01E-02,Table 16,35,25
MD134,3.677,98.651,1.126,2.269,0.888,4.573,3.00E-03,1.79E-03,Table 16,36,1
MD137,3.689,98.634,1.208,1.269,0.828,1.333,5.00E-04,5.23E-04,Table 16,36,2
MD138,3.688,98.644,1.079,1.837,0.926,3.125,5.00E-04,1.23E-03,Table 16,36,3
MD139,3.693,98.650,1.295,2.279,0.772,4.01,5.00E-04,1.57E-03,Table 16,36,4
MD140,3.689,98.659,1.117,1.926,0.895,3.322,5.00E-04,1.30E-03,Table 16,36,5
MD146,3.702,98.635,1.245,1.9,0.803,2.899,5.00E-04,1.14E-03,Table 16,36,6
MD147,3.702,98.642,1.024,1.992,0.977,3.875,5.00E-04,1.52E-03,Table 16,36,7
MD148,3.702,98.651,1.128,1.889,0.887,3.163,5.00E-04,1.24E-03,Table 16,36,8
MD149,3.705,98.660,1.08,3.387,0.926,10.62,3.00E-03,4.17E-03,Table 16,36,9
MD150,3.702,98.668,1.165,1.956,0.858,3.282,5.00E-04,1.29E-03,Table 16,36,10
MD155,3.713,98.643,1.119,2.531,0.893,5.725,3.00E-03,2.25E-03,Table 16,36,11
MD156,3.711,98.650,0.96,2.35,1.041,5.749,3.00E-03,2.26E-03,Table 16,36,12
MD157,3.717,98.660,1.11,2.767,0.901,6.898,3.00E-03,2.71E-03,Table 16,36,13
MD158,3.716,98.669,0.971,2.026,1.029,4.224,3.00E-03,1.66E-03,Table 16,36,14
MD159,3.715,98.678,0.917,3.143,1.09,10.77,3.00E-03,4.22E-03,Table 16,36,15
MD163,3.732,98.656,0.933,3.461,1.072,12.84,5.00E-03,5.04E-03,Table 16,36,16
MD164,3.731,98.660,1.069,3.685,0.935,12.7,5.00E-03,4.98E-03,Table 16,36,17
MD165,3.728,98.669,0.906,2.267,1.104,5.671,3.00E-03,2.22E-03,Table 16,36,18
MD174,3.743,98.673,1.024,3.518,0.977,12.09,3.00E-03,4.74E-03,Table 16,36,19
MD175,3.743,98.673,1.298,0.788,0.77,0.478,1.17E-04,1.88E-04,Table 16,36,20
MD143,3.685,98.690,1.924,2.266,0.52,2.669,5.00E-04,1.05E-03,Table 16,37,1
MD144,3.692,98.695,1.064,1.896,0.94,3.377,5.00E-04,1.32E-03,Table 16,37,2
MD145,3.691,98.708,0.862,3.109,1.16,11.21,3.00E-03,4.40E-03,Table 16,37,3
MD151,3.701,98.676,1.136,1.72,0.88,2.606,5.00E-04,1.02E-03,Table 16,37,4
MD152,3.702,98.684,0.841,3.299,1.189,12.95,5.00E-03,5.08E-03,Table 16,37,5
MD153,3.702,98.691,0.898,2.8,1.114,8.732,3.00E-03,3.43E-03,Table 16,37,6
MD154,3.704,98.717,1.396,4.23,0.716,12.82,5.00E-03,5.03E-03,Table 16,37,7
MD160,3.717,98.687,0.846,3.385,1.182,13.54,5.00E-03,5.31E-03,Table 16,37,8
MD161,3.710,98.695,0.852,3.025,1.174,10.75,3.00E-03,4.22E-03,Table 16,37,9
MD162,3.720,98.698,1.109,1.763,0.902,2.802,5.00E-04,1.10E-03,Table 16,37,10
MD166,3.727,98.678,0.728,6.401,1.373,56.25,1.00E-02,2.21E-02,Table 16,37,11
MD167,3.733,98.686,0.75,3.72,1.333,18.44,5.00E-03,7.24E-03,Table 16,37,12
MD168,3.729,98.694,0.752,3.118,1.331,12.94,5.00E-03,5.08E-03,Table 16,37,13
MD169,3.708,98.707,1.759,2.619,0.569,3.899,5.00E-04,1.53E-03,Table 16,37,14
MD170,3.701,98.701,2.846,2.165,0.351,1.647,5.00E-04,6.46E-04,Table 16,37,15
MD171,3.713,98.712,1.428,4.128,0.7,11.93,3.00E-03,4.68E-03,Table 16,37,16
MD177,3.742,98.679,0.677,2.901,1.477,12.43,5.00E-03,4.88E-03,Table 16,37,17
MD177,3.736,98.686,0.849,2.242,1.177,5.919,1.45E-03,2.32E-03,Table 16,37,18
MD178,3.742,98.700,1.087,5.604,0.92,28.89,7.00E-03,1.13E-02,Table 16,37,19
MD184,3.755,98.679,0.797,4.441,1.254,24.73,7.00E-03,9.70E-03,Table 16,37,20
MD185,3.753,98.690,0.693,6.312,1.443,57.51,1.00E-02,2.26E-02,Table 16,37,21
MD186,3.754,98.697,0.701,4.761,1.426,32.33,7.00E-03,1.27E-02,Table 16,37,22
MD124,3.638,98.687,1.144,1.457,0.874,1.856,4.55E-04,7.28E-04,Table 16,38,1
MD125,3.651,98.660,0.419,3.215,2.386,24.66,6.05E-03,9.67E-03,Table 16,38,2
MD126,3.651,98.669,0.126,6.011,7.929,286.5,7.02E-02,1.12E-01,Table 16,38,3
MD127,3.651,98.678,1.163,1.495,0.86,1.921,4.71E-04,7.53E-04,Table 16,38,4
MD128,3.651,98.687,1.067,1.489,0.937,2.079,5.10E-04,8.15E-04,Table 16,38,5
MD129,3.651,98.696,0.949,1.255,1.053,1.659,4.07E-04,6.51E-04,Table 16,38,6
MD130,3.664,98.660,0.177,16.22,5.649,1486,3.64E-01,5.83E-01,Table 16,38,7
MD131,3.664,98.669,0.8,3.178,1.25,12.62,5.00E-03,4.95E-03,Table 16,38,8
MD132,3.664,98.678,1.123,2.704,0.89,6.511,1.60E-03,2.55E-03,Table 16,38,9
MD133,3.664,98.687,1.032,1.349,0.969,1.762,4.32E-04,6.91E-04,Table 16,38,10
MD135,3.677,98.660,1.139,1.88,0.878,3.101,5.00E-04,1.22E-03,Table 16,38,11
