site_id,match_method,coordinate_delta_m_approx,masw_docx_table_index,hvsr_docx_table_index
MD1,exact_site_id_coordinate_checked,47.36,32,55
MD2,exact_site_id_coordinate_checked,50.77,32,55
MD4,exact_site_id_coordinate_checked,36.346,32,55
MD5,exact_site_id_coordinate_checked,39.358,32,55
MD6,exact_site_id_coordinate_checked,50.819,32,55
MD7,exact_site_id_coordinate_checked,52.142,32,55
MD8,exact_site_id_coordinate_checked,37.996,32,55
MD9,exact_site_id_coordinate_checked,35.9,32,55
MD10,exact_site_id_coordinate_checked,51.653,32,55
MD11,exact_site_id_coordinate_checked,60.01,32,55
MD12,exact_site_id_coordinate_checked,56.059,32,55
MD14,exact_site_id_coordinate_checked,24.717,32,55
MD15,exact_site_id_coordinate_checked,58.747,33,53
MD16,exact_site_id_coordinate_checked,42.506,33,53
MD17,exact_site_id_coordinate_checked,11.352,33,53
MD18,exact_site_id_coordinate_checked,51.4,33,53
MD19,exact_site_id_coordinate_checked,23.377,33,53
MD20,exact_site_id_coordinate_checked,49.896,32,55
MD21,exact_site_id_coordinate_checked,52.51,30,52
MD22,exact_site_id_coordinate_checked,48.229,30,52
MD23,exact_site_id_coordinate_checked,40.46,30,52
MD24,exact_site_id_coordinate_checked,38.304,30,52
MD25,exact_site_id_coordinate_checked,36.26,33,53
MD26,exact_site_id_coordinate_checked,34.955,33,53
MD27,exact_site_id_coordinate_checked,23.483,33,53
MD28,exact_site_id_coordinate_checked,31.427,33,53
MD29,exact_site_id_coordinate_checked,66.95,33,53
MD30,exact_site_id_coordinate_checked,44.444,31,54
MD31,exact_site_id_coordinate_checked,57.251,31,54
MD32,exact_site_id_coordinate_checked,50.032,31,54
MD33,exact_site_id_coordinate_checked,3.52,31,54
MD34,exact_site_id_coordinate_checked,40.137,31,54
MD35,exact_site_id_coordinate_checked,27.108,31,54
MD36,exact_site_id_coordinate_checked,55.938,32,55
MD37,exact_site_id_coordinate_checked,8.975,32,55
MD38,exact_site_id_coordinate_checked,42.608,30,52
MD39,exact_site_id_coordinate_checked,57.854,30,52
MD40,exact_site_id_coordinate_checked,48.536,30,52
MD41,exact_site_id_coordinate_checked,51.086,30,52
MD42,exact_site_id_coordinate_checked,33.415,30,52
MD43,exact_site_id_coordinate_checked,50.106,25,47
MD44,exact_site_id_coordinate_checked,31.01,25,47
MD46,exact_site_id_coordinate_checked,38.643,31,54
MD47,exact_site_id_coordinate_checked,63.296,31,54
MD48,exact_site_id_coordinate_checked,5.566,31,54
MD49,exact_site_id_coordinate_checked,32.052,31,54
MD50,exact_site_id_coordinate_checked,66.13,30,52
MD51,exact_site_id_coordinate_checked,31.249,30,52
MD52,exact_site_id_coordinate_checked,46.874,30,52
MD53,exact_site_id_coordinate_checked,43.472,30,52
MD54,exact_site_id_coordinate_checked,11.461,30,52
MD55,exact_site_id_coordinate_checked,23.377,24,46
MD56,exact_site_id_coordinate_checked,20.915,25,47
MD57,exact_site_id_coordinate_checked,54.774,25,47
MD58,exact_site_id_coordinate_checked,15.743,26,48
MD59,exact_site_id_coordinate_checked,47.334,27,49
MD60,exact_site_id_coordinate_checked,27.381,29,51
MD61,exact_site_id_coordinate_checked,51.569,29,51
MD62,exact_site_id_coordinate_checked,40.152,29,51
MD63,exact_site_id_coordinate_checked,51.4,23,45
MD64,exact_site_id_coordinate_checked,44.038,23,45
MD65,exact_site_id_coordinate_checked,44.444,23,45
MD66,exact_site_id_coordinate_checked,65.905,23,45
MD67,exact_site_id_coordinate_checked,32.11,30,52
MD69,exact_site_id_coordinate_checked,30.79,25,47
MD70,exact_site_id_coordinate_checked,28.096,26,48
MD71,exact_site_id_coordinate_checked,51.316,27,49
MD72,exact_site_id_coordinate_checked,40.337,28,50
MD73,exact_site_id_coordinate_checked,51.785,28,50
MD74,exact_site_id_coordinate_checked,32.052,28,50
MD75,exact_site_id_coordinate_checked,47.229,29,51
MD76,exact_site_id_coordinate_checked,40.137,29,51
MD77,exact_site_id_coordinate_checked,39.734,23,45
MD78,exact_site_id_coordinate_checked,39.734,23,45
MD79,exact_site_id_coordinate_checked,39.734,23,45
MD80,exact_site_id_coordinate_checked,39.734,23,45
MD82,exact_site_id_coordinate_checked,58.057,18,44
MD83,exact_site_id_coordinate_checked,21.268,18,44
MD84,exact_site_id_coordinate_checked,29.284,18,44
MD85,exact_site_id_coordinate_checked,30.139,18,44
MD86,exact_site_id_coordinate_checked,22.541,27,49
MD87,exact_site_id_coordinate_checked,48.829,28,50
MD88,exact_site_id_coordinate_checked,15.465,28,50
MD89,exact_site_id_coordinate_checked,42.302,29,51
MD90,exact_site_id_coordinate_checked,39.734,23,45
MD91,exact_site_id_coordinate_checked,39.734,17,39
MD92,exact_site_id_coordinate_checked,39.734,17,39
MD93,exact_site_id_coordinate_checked,39.734,17,39
MD94,exact_site_id_coordinate_checked,39.734,17,39
MD95,exact_site_id_coordinate_checked,14.852,18,44
MD96,exact_site_id_coordinate_checked,13.77,18,44
MD97,exact_site_id_coordinate_checked,45.205,19,40
MD98,exact_site_id_coordinate_checked,42.316,20,41
MD99,exact_site_id_coordinate_checked,63.997,20,41
MD100,exact_site_id_coordinate_checked,51.219,21,42
MD101,exact_site_id_coordinate_checked,31.01,21,42
MD103,exact_site_id_coordinate_checked,55.19,22,43
MD104,exact_site_id_coordinate_checked,55.101,22,43
MD105,exact_site_id_coordinate_checked,39.734,17,39
MD106,exact_site_id_coordinate_checked,39.734,17,39
MD107,exact_site_id_coordinate_checked,39.734,17,39
MD108,exact_site_id_coordinate_checked,39.734,17,39
MD109,exact_site_id_coordinate_checked,39.734,17,39
MD110,exact_site_id_coordinate_checked,39.734,17,39
MD111,exact_site_id_coordinate_checked,50.292,17,39
MD112,exact_site_id_coordinate_checked,40.137,19,40
MD113,exact_site_id_coordinate_checked,46.489,20,41
MD114,exact_site_id_coordinate_checked,35.692,21,42
