site_id,latitude,longitude,vs30_mps,site_class,source_table,docx_table_index,source_row_number
MD172,3.74284,98.64489,97.7,E,Table 14,13,1
MD173,3.74707,98.65045,85.05,E,Table 14,13,2
MD179,3.75458,98.63868,63.93,E,Table 14,13,3
MD180,3.75381,98.64142,61.86,E,Table 14,13,4
MD181,3.75311,98.65100,136.86,E,Table 14,13,5
MD182,3.75582,98.65957,124.23,E,Table 14,13,6
MD183,3.75408,98.66823,84.85,E,Table 14,13,7
MD188,3.75919,98.65644,116.12,E,Table 14,13,8
MD189,3.76129,98.66190,114.19,E,Table 14,13,9
MD190,3.77024,98.67124,148.49,E,Table 14,13,10
MD191,3.75739,98.67082,102.89,E,Table 14,13,11
MD192,3.76753,98.67804,145.15,E,Table 14,13,12
MD193,3.77081,98.68530,113.2,E,Table 14,13,13
MD194,3.77269,98.70327,118.7,E,Table 14,13,14
MD195,3.77268,98.67503,67.99,E,Table 14,13,15
MD196,3.78608,98.68213,113.3,E,Table 14,13,16
MD197,3.78054,98.68804,178.3,E,Table 14,13,17
MD198,3.78101,98.69591,156.76,E,Table 14,13,18
MD199,3.78066,98.70518,122.63,E,Table 14,13,19
MD143,3.68455,98.69009,115.01,E,Table 14,14,1
MD144,3.69225,98.69504,123.29,E,Table 14,14,2
MD145,3.69076,98.70820,160.97,E,Table 14,14,3
MD151,3.70056,98.67617,170.66,E,Table 14,14,4
MD152,3.70156,98.68359,162.77,E,Table 14,14,5
MD153,3.70246,98.69098,164.64,E,Table 14,14,6
MD154,3.70445,98.71707,126.48,E,Table 14,14,7
MD159,3.71496,98.67844,153.11,E,Table 14,14,8
MD160,3.71742,98.68678,139.63,E,Table 14,14,9
MD161,3.70981,98.69530,124.05,E,Table 14,14,10
MD162,3.72033,98.69785,107.93,E,Table 14,14,11
MD166,3.72664,98.67832,132.3,E,Table 14,14,12
MD167,3.73295,98.68607,144.55,E,Table 14,14,13
MD168,3.72928,98.69401,171.4,E,Table 14,14,14
MD169,3.70826,98.70692,105.01,E,Table 14,14,15
MD170,3.70074,98.70061,172.96,E,Table 14,14,16
MD171,3.71329,98.71228,114.76,E,Table 14,14,17
MD176,3.74215,98.67871,101.13,E,Table 14,14,18
MD177,3.73571,98.68624,168.76,E,Table 14,14,19
MD178,3.74199,98.70017,123.53,E,Table 14,14,20
MD184,3.75450,98.67870,155.87,E,Table 14,14,21
MD185,3.75305,98.68968,127.76,E,Table 14,14,22
MD186,3.75363,98.69664,122.11,E,Table 14,14,23
MD134,3.67665,98.65107,179.81,E,Table 14,15,1
MD137,3.68874,98.63394,160.97,E,Table 14,15,2
MD138,3.68819,98.64426,125,E,Table 14,15,3
MD139,3.69258,98.64989,121.31,E,Table 14,15,4
MD140,3.68855,98.65946,149.6,E,Table 14,15,5
MD146,3.70229,98.63506,145.71,E,Table 14,15,6
MD147,3.70196,98.64230,114.2,E,Table 14,15,7
MD148,3.70202,98.65141,169.71,E,Table 14,15,8
MD149,3.70460,98.65996,152.74,E,Table 14,15,9
MD150,3.70168,98.66827,178.44,E,Table 14,15,10
MD155,3.71349,98.64260,193.13,D,Table 14,15,11
MD156,3.71138,98.64969,161.48,E,Table 14,15,12
MD157,3.71682,98.65987,140.56,E,Table 14,15,13
MD158,3.71637,98.66860,119.6,E,Table 14,15,14
MD163,3.73158,98.65589,65.46,E,Table 14,15,15
MD164,3.73112,98.65990,138.78,E,Table 14,15,16
MD165,3.72772,98.66856,143.96,E,Table 14,15,17
MD174,3.74063,98.65860,123.07,E,Table 14,15,18
MD175,3.74344,98.67328,147.81,E,Table 14,15,19
MD124,3.63765,98.68707,192.83,D,Table 14,16,1
MD125,3.65065,98.66007,186.09,D,Table 14,16,2
MD126,3.65065,98.66907,164.89,E,Table 14,16,3
MD127,3.65065,98.67807,172.87,E,Table 14,16,4
MD128,3.65065,98.68707,204.34,D,Table 14,16,5
MD129,3.65065,98.69607,215.2,D,Table 14,16,6
MD130,3.66365,98.66007,162.31,E,Table 14,16,7
MD131,3.66365,98.66907,178.84,E,Table 14,16,8
MD132,3.66365,98.67807,186.48,D,Table 14,16,9
MD133,3.66365,98.68707,202.9,D,Table 14,16,10
MD135,3.67665,98.66007,140.28,E,Table 14,16,11
MD136,3.67665,98.66907,171.76,E,Table 14,16,12
MD141,3.69418,98.67255,167.44,E,Table 14,16,13
MD142,3.68979,98.67854,140.09,E,Table 14,16,14
MD91,3.59865,98.61507,281,D,Table 14,17,1
MD92,3.59865,98.62407,230.68,D,Table 14,17,2
MD93,3.59865,98.63307,199.87,D,Table 14,17,3
MD94,3.59865,98.64207,218.22,D,Table 14,17,4
MD105,3.61165,98.60607,193.47,D,Table 14,17,5
MD106,3.61165,98.61507,219.31,D,Table 14,17,6
MD107,3.61165,98.62407,166.23,E,Table 14,17,7
MD108,3.61165,98.63307,216.57,D,Table 14,17,8
MD109,3.61165,98.64207,190.92,D,Table 14,17,9
MD110,3.61165,98.65107,119.13,E,Table 14,17,10
MD111,3.61179,98.66040,188.84,D,Table 14,17,11
MD82,3.58572,98.65144,234.46,D,Table 14,18,1
MD83,3.58586,98.66013,243.08,D,Table 14,18,2
MD84,3.58474,98.67004,236.99,D,Table 14,18,3
MD85,3.58498,98.67727,235.06,D,Table 14,18,4
MD95,3.59903,98.65113,240.72,D,Table 14,18,5
MD96,3.59912,98.65997,204.05,D,Table 14,18,6
MD97,3.59940,98.67007,223.65,D,Table 14,19,1
MD112,3.61212,98.66766,200.46,D,Table 14,19,2
MD117,3.62465,98.66907,179.41,E,Table 14,19,3
MD98,3.59917,98.67866,209.7,D,Table 14,20,1
MD99,3.59937,98.68844,229.75,D,Table 14,20,2
MD113,3.61212,98.67840,198.63,D,Table 14,20,3
MD118,3.62465,98.67807,200.98,D,Table 14,20,4
MD119,3.62465,98.68707,216.95,D,Table 14,20,5
MD122,3.63765,98.66907,179.4,E,Table 14,20,6
MD123,3.63765,98.67807,189.79,D,Table 14,20,7
MD100,3.59931,98.69566,233.5,D,Table 14,21,1
MD101,3.59874,98.70490,156.74,E,Table 14,21,2
MD114,3.61168,98.68702,178.64,E,Table 14,21,3
MD102,3.59925,98.71408,205.88,D,Table 14,22,1
MD103,3.59933,98.72237,225.32,D,Table 14,22,2
MD104,3.62235,98.69865,211.77,D,Table 14,22,3
MD115,3.61136,98.69686,177.98,E,Table 14,22,4
MD116,3.61193,98.70446,178.34,E,Table 14,22,5
MD120,3.62465,98.69607,219.29,D,Table 14,22,6
MD121,3.62465,98.70507,183.69,D,Table 14,22,7
MD63,3.57344,98.61486,240.51,D,Table 14,23,1
MD64,3.57289,98.62462,209.77,D,Table 14,23,2
MD65,3.57285,98.63337,192.76,D,Table 14,23,3
MD66,3.57264,98.64153,212.79,D,Table 14,23,4
MD77,3.58565,98.60607,222.29,D,Table 14,23,5
MD78,3.58565,98.61507,180.29,D,Table 14,23,6
MD79,3.58565,98.62407,160.24,E,Table 14,23,7
MD80,3.58565,98.63307,234.98,D,Table 14,23,8
MD90,3.59865,98.60607,307.22,D,Table 14,23,9
MD55,3.56121,98.66000,224.77,D,Table 14,24,1
MD68,3.57321,98.66011,207.58,D,Table 14,24,2
MD43,3.54745,98.66901,215.48,D,Table 14,25,1
MD44,3.54610,98.67874,216.82,D,Table 14,25,2
MD45,3.54738,98.68571,182.74,D,Table 14,25,3
MD56,3.55983,98.66692,215.06,D,Table 14,25,4
MD57,3.55970,98.67839,225.09,D,Table 14,25,5
MD69,3.57221,98.66918,206.41,D,Table 14,25,6
MD45,3.54738,98.68571,182.74,D,Table 14,26,1
MD58,3.55910,98.68710,228.61,D,Table 14,26,2
MD70,3.57379,98.67814,185.41,D,Table 14,26,3
MD59,3.56032,98.69572,236.44,D,Table 14,27,1
MD71,3.57455,98.68710,199.93,D,Table 14,27,2
MD86,3.58611,98.68683,197.93,D,Table 14,27,3
MD72,3.57268,98.69583,278.87,D,Table 14,28,1
MD73,3.57220,98.70542,192.02,D,Table 14,28,2
MD74,3.57310,98.71427,252.18,D,Table 14,28,3
MD87,3.58560,98.69618,200.45,D,Table 14,28,4
MD88,3.58612,98.70493,176.68,E,Table 14,28,5
MD60,3.56022,98.70511,289.45,D,Table 14,29,1
MD61,3.55825,98.71461,207.68,D,Table 14,29,2
MD62,3.56074,98.72375,192.14,D,Table 14,29,3
MD75,3.57270,98.72330,256.9,D,Table 14,29,4
MD76,3.57234,98.73188,212.51,D,Table 14,29,5
MD89,3.58562,98.71400,198.23,D,Table 14,29,6
MD21,3.53344,98.61517,283.3,D,Table 14,30,1
MD22,3.53359,98.62514,255.87,D,Table 14,30,2
MD23,3.53364,98.63305,217.26,D,Table 14,30,3
MD24,3.53428,98.64120,224.3,D,Table 14,30,4
MD38,3.54587,98.62364,241.34,D,Table 14,30,5
MD39,3.54645,98.63274,225.64,D,Table 14,30,6
MD40,3.54635,98.64174,229.85,D,Table 14,30,7
MD41,3.54645,98.65009,224.39,D,Table 14,30,8
MD42,3.54670,98.66001,263.4,D,Table 14,30,9
MD50,3.56048,98.61535,272.3,D,Table 14,30,10
MD51,3.55972,98.62398,207.04,D,Table 14,30,11
MD52,3.55958,98.63303,240.97,D,Table 14,30,12
MD53,3.56002,98.64161,247,D,Table 14,30,13
MD54,3.56005,98.65109,226.88,D,Table 14,30,14
MD67,3.57316,98.65076,174.55,E,Table 14,30,15
MD30,3.53363,98.69585,238.2,D,Table 14,31,1
MD31,3.53377,98.70546,246.05,D,Table 14,31,2
MD32,3.53262,98.71424,218.31,D,Table 14,31,3
MD33,3.53797,98.72299,225.69,D,Table 14,31,4
MD34,3.53336,98.73202,198.1,D,Table 14,31,5
MD35,3.53408,98.74123,222.08,D,Table 14,31,6
MD46,3.54593,98.69466,196.86,D,Table 14,31,7
MD47,3.54632,98.70547,182.68,D,Table 14,31,8
MD48,3.54695,98.71400,192.74,D,Table 14,31,9
MD49,3.54727,98.72290,253.15,D,Table 14,31,10
MD1,3.49321,98.39737,301.79,D,Table 14,32,1
MD2,3.49488,98.60644,227.65,D,Table 14,32,2
MD3,3.49385,98.64197,273.4,D,Table 14,32,3
MD4,3.50721,98.60725,249.93,D,Table 14,32,4
MD5,3.50775,98.61425,301.71,D,Table 14,32,5
MD6,3.50960,98.62978,276.24,D,Table 14,32,6
MD7,3.50745,98.63287,265.42,D,Table 14,32,7
MD8,3.50818,98.64229,243.18,D,Table 14,32,8
MD9,3.50796,98.64868,257.21,D,Table 14,32,9
MD10,3.52063,98.60728,208.68,D,Table 14,32,10
MD11,3.52235,98.61559,196.96,D,Table 14,32,11
MD12,3.52150,98.62406,289.1,D,Table 14,32,12
