site_id,masw_row_count,hvsr_row_count,reconciliation_status
MD1,1,1,paired
MD2,1,1,paired
MD3,1,1,coordinate_conflict
MD4,1,1,paired
MD5,1,1,paired
MD6,1,1,paired
MD7,1,1,paired
MD8,1,1,paired
MD9,1,1,paired
MD10,1,1,paired
MD11,1,1,paired
MD12,1,1,paired
MD13,1,0,only_masw
MD14,1,1,paired
MD15,1,1,paired
MD16,1,1,paired
MD17,1,1,paired
MD18,1,1,paired
MD19,1,1,paired
MD20,1,1,paired
MD21,1,1,paired
MD22,1,1,paired
MD23,1,1,paired
MD24,1,1,paired
MD25,1,1,paired
MD26,1,1,paired
MD27,1,1,paired
MD28,1,1,paired
MD29,1,1,paired
MD30,1,1,paired
MD31,1,1,paired
MD32,1,1,paired
MD33,1,1,paired
MD34,1,1,paired
MD35,1,1,paired
MD36,1,1,paired
MD37,1,1,paired
MD38,1,1,paired
MD39,1,1,paired
MD40,1,1,paired
MD41,1,1,paired
MD42,1,1,paired
MD43,1,1,paired
MD44,1,1,paired
MD45,2,1,duplicate_published_site_id
MD46,1,1,paired
MD47,1,1,paired
MD48,1,1,paired
MD49,1,1,paired
MD50,1,1,paired
MD51,1,1,paired
MD52,1,1,paired
MD53,1,1,paired
MD54,1,1,paired
MD55,1,1,paired
MD56,1,1,paired
MD57,1,1,paired
MD58,1,1,paired
MD59,1,1,paired
MD60,1,1,paired
MD61,1,1,paired
MD62,1,1,paired
MD63,1,1,paired
MD64,1,1,paired
MD65,1,1,paired
MD66,1,1,paired
MD67,1,1,paired
MD68,1,2,duplicate_published_site_id
MD69,1,1,paired
MD70,1,1,paired
MD71,1,1,paired
MD72,1,1,paired
MD73,1,1,paired
MD74,1,1,paired
MD75,1,1,paired
MD76,1,1,paired
MD77,1,1,paired
MD78,1,1,paired
MD79,1,1,paired
MD80,1,1,paired
MD81,0,1,only_hvsr
MD82,1,1,paired
MD83,1,1,paired
MD84,1,1,paired
MD85,1,1,paired
MD86,1,1,paired
MD87,1,1,paired
MD88,1,1,paired
MD89,1,1,paired
MD90,1,1,paired
MD91,1,1,paired
MD92,1,1,paired
MD93,1,1,paired
MD94,1,1,paired
MD95,1,1,paired
MD96,1,1,paired
MD97,1,1,paired
MD98,1,1,paired
MD99,1,1,paired
MD100,1,1,paired
MD101,1,1,paired
MD102,1,0,only_masw
MD103,1,1,paired
MD104,1,1,paired
MD105,1,1,paired
MD106,1,1,paired
MD107,1,1,paired
MD108,1,1,paired
MD109,1,1,paired
MD110,1,1,paired
MD111,1,1,paired
MD112,1,1,paired
MD113,1,1,paired
MD114,1,1,paired
MD115,1,1,paired
MD116,1,1,paired
MD117,1,0,only_masw
MD118,1,1,paired
MD119,1,1,paired
MD120,1,1,paired
MD121,1,1,paired
MD122,1,1,paired
MD123,1,1,paired
MD124,1,1,paired
MD125,1,1,paired
MD126,1,1,paired
MD127,1,1,paired
MD128,1,1,paired
MD129,1,1,paired
MD130,1,1,paired
MD131,1,1,paired
MD132,1,1,paired
MD133,1,1,paired
MD134,1,1,paired
MD135,1,1,paired
MD136,1,1,paired
MD137,1,1,paired
MD138,1,1,paired
MD139,1,1,paired
MD140,1,1,paired
MD141,1,1,paired
MD142,1,1,paired
MD143,1,1,paired
MD144,1,1,paired
MD145,1,1,paired
MD146,1,1,paired
MD147,1,1,paired
MD148,1,1,paired
MD149,1,1,paired
MD150,1,1,paired
MD151,1,1,paired
MD152,1,1,paired
MD153,1,1,paired
MD154,1,1,paired
MD155,1,1,paired
MD156,1,1,paired
MD157,1,1,paired
MD158,1,1,paired
MD159,1,1,paired
MD160,1,1,paired
MD161,1,1,paired
MD162,1,1,paired
MD163,1,1,paired
MD164,1,1,paired
MD165,1,1,paired
MD166,1,1,paired
MD167,1,1,paired
MD168,1,1,paired
MD169,1,1,paired
MD170,1,1,paired
MD171,1,1,paired
MD172,1,1,paired
MD173,1,1,paired
MD174,1,2,duplicate_published_site_id
MD175,1,1,paired
MD176,1,0,only_masw
MD177,1,2,duplicate_published_site_id
MD178,1,1,paired
MD179,1,1,paired
MD180,1,1,paired
MD181,1,1,paired
MD182,1,1,paired
MD183,1,1,paired
MD184,1,2,duplicate_published_site_id
MD185,1,2,duplicate_published_site_id
MD186,1,2,duplicate_published_site_id
MD187,0,1,only_hvsr
MD188,1,1,paired
MD189,1,1,paired
MD190,1,1,paired
MD191,1,1,paired
MD192,1,1,paired
MD193,1,1,paired
MD194,1,1,paired
MD195,1,1,paired
MD196,1,1,paired
MD197,1,1,paired
MD198,1,1,paired
MD199,1,1,paired
MD200,0,1,only_hvsr
